,MLII,V2,symbol
521,-0.315,-0.145,
522,-0.31,-0.15,
523,-0.315,-0.16,
524,-0.315,-0.175,
525,-0.31,-0.185,
526,-0.32,-0.175,
527,-0.31,-0.145,
528,-0.3,-0.115,
529,-0.32,-0.11,
530,-0.34,-0.115,
531,-0.355,-0.115,
532,-0.375,-0.115,
533,-0.38,-0.12,
534,-0.38,-0.11,
535,-0.39,-0.12,
536,-0.405,-0.135,
537,-0.405,-0.145,
538,-0.42,-0.145,
539,-0.43,-0.15,
540,-0.425,-0.145,
541,-0.43,-0.145,
542,-0.435,-0.16,
543,-0.45,-0.155,
544,-0.45,-0.17,
545,-0.45,-0.155,
546,-0.45,-0.145,
547,-0.435,-0.16,
548,-0.44,-0.155,
549,-0.44,-0.155,
550,-0.46,-0.155,
551,-0.455,-0.145,
552,-0.45,-0.135,
553,-0.45,-0.145,
554,-0.44,-0.145,
555,-0.45,-0.16,
556,-0.455,-0.165,
557,-0.45,-0.155,
558,-0.435,-0.14,
559,-0.435,-0.145,
560,-0.445,-0.15,
561,-0.46,-0.15,
562,-0.51,-0.145,
563,-0.57,-0.155,
564,-0.62,-0.17,
565,-0.635,-0.185,
566,-0.59,-0.18,
567,-0.535,-0.16,
568,-0.455,-0.14,
569,-0.275,-0.075,
570,0.045,0.015,
571,0.445,0.185,
572,0.875,0.4,
573,1.23,0.64,
574,1.535,0.895,
575,1.75,1.16,N
576,1.84,1.335,
577,1.73,1.345,
578,1.365,1.175,
579,0.79,0.795,
580,0.195,0.295,
581,-0.26,-0.165,
582,-0.485,-0.465,
583,-0.55,-0.575,
584,-0.54,-0.555,
585,-0.505,-0.46,
586,-0.42,-0.34,
587,-0.355,-0.205,
588,-0.34,-0.11,
589,-0.375,-0.095,
590,-0.395,-0.11,
591,-0.415,-0.13,
592,-0.415,-0.135,
593,-0.415,-0.125,
594,-0.405,-0.12,
595,-0.43,-0.12,
596,-0.455,-0.14,
597,-0.475,-0.15,
598,-0.495,-0.165,
599,-0.495,-0.155,
600,-0.485,-0.14,
601,-0.485,-0.15,
602,-0.485,-0.15,
603,-0.51,-0.15,
604,-0.515,-0.155,
605,-0.52,-0.15,
606,-0.5,-0.14,
607,-0.495,-0.14,
608,-0.5,-0.135,
609,-0.49,-0.145,
610,-0.51,-0.145,
611,-0.5,-0.135,
612,-0.495,-0.12,
613,-0.485,-0.12,
614,-0.495,-0.135,
615,-0.495,-0.145,
616,-0.51,-0.155,
617,-0.5,-0.13,
618,-0.49,-0.12,
619,-0.48,-0.11,
620,-0.49,-0.105,
621,-0.475,-0.12,
622,-0.495,-0.125,
623,-0.47,-0.115,
624,-0.47,-0.1,
625,-0.47,-0.105,
626,-0.46,-0.11,
627,-0.465,-0.115,
628,-0.455,-0.1,
629,-0.445,-0.095,
630,-0.435,-0.075,
631,-0.41,-0.065,
632,-0.405,-0.095,
633,-0.41,-0.085,
634,-0.41,-0.075,
635,-0.4,-0.06,
636,-0.38,-0.04,
637,-0.355,-0.045,
638,-0.34,-0.035,
639,-0.33,-0.04,
640,-0.33,-0.03,
641,-0.295,-0.005,
642,-0.275,0.025,
643,-0.265,0.015,
644,-0.245,0.025,
645,-0.23,0.03,
646,-0.215,0.035,
647,-0.19,0.06,
648,-0.165,0.075,
649,-0.13,0.09,
650,-0.1,0.115,
651,-0.1,0.115,
652,-0.085,0.115,
653,-0.065,0.135,
654,-0.05,0.155,
655,-0.02,0.155,
656,-0.01,0.17,
657,-0.005,0.175,
658,-0.005,0.18,
659,0.025,0.2,
660,0.03,0.215,
661,0.07,0.215,
662,0.07,0.22,
663,0.06,0.23,
664,0.055,0.22,
665,0.07,0.235,
666,0.075,0.24,
667,0.075,0.235,
668,0.06,0.225,
669,0.045,0.21,
670,0.015,0.195,
671,0.015,0.2,
672,0.01,0.2,
673,-0.005,0.18,
674,-0.015,0.165,
675,-0.075,0.14,
676,-0.095,0.12,
677,-0.115,0.11,
678,-0.125,0.105,
679,-0.14,0.09,
680,-0.165,0.06,
681,-0.205,0.045,
682,-0.23,0.025,
683,-0.25,0.01,
684,-0.26,0.0,
685,-0.27,-0.02,
686,-0.28,-0.035,
687,-0.305,-0.055,
688,-0.32,-0.06,
689,-0.325,-0.06,
690,-0.32,-0.065,
691,-0.335,-0.065,
692,-0.33,-0.09,
693,-0.355,-0.11,
694,-0.36,-0.115,
695,-0.355,-0.115,
696,-0.345,-0.115,
697,-0.345,-0.11,
698,-0.35,-0.11,
699,-0.35,-0.125,
700,-0.355,-0.135,
701,-0.345,-0.115,
702,-0.34,-0.105,
703,-0.345,-0.105,
704,-0.345,-0.125,
705,-0.35,-0.14,
706,-0.355,-0.15,
707,-0.35,-0.125,
708,-0.34,-0.12,
709,-0.33,-0.11,
710,-0.335,-0.115,
711,-0.335,-0.12,
712,-0.345,-0.13,
713,-0.34,-0.11,
714,-0.335,-0.105,
715,-0.325,-0.11,
716,-0.33,-0.115,
717,-0.34,-0.13,
718,-0.34,-0.125,
719,-0.325,-0.105,
720,-0.33,-0.08,
721,-0.32,-0.1,
722,-0.315,-0.1,
723,-0.325,-0.095,
724,-0.335,-0.105,
725,-0.335,-0.095,
726,-0.325,-0.09,
727,-0.31,-0.095,
728,-0.31,-0.11,
729,-0.32,-0.115,
730,-0.335,-0.12,
731,-0.32,-0.11,
732,-0.32,-0.085,
733,-0.315,-0.095,
734,-0.31,-0.095,
735,-0.335,-0.11,
736,-0.325,-0.095,
737,-0.335,-0.09,
738,-0.315,-0.075,
739,-0.33,-0.09,
740,-0.32,-0.105,
741,-0.335,-0.115,
742,-0.335,-0.115,
743,-0.33,-0.1,
744,-0.325,-0.11,
745,-0.315,-0.105,
746,-0.315,-0.115,
747,-0.32,-0.125,
748,-0.345,-0.135,
749,-0.335,-0.125,
750,-0.33,-0.135,
751,-0.335,-0.145,
752,-0.335,-0.145,
753,-0.345,-0.15,
754,-0.35,-0.16,
755,-0.35,-0.145,
756,-0.355,-0.14,
757,-0.35,-0.15,
758,-0.355,-0.17,
759,-0.365,-0.175,
760,-0.375,-0.185,
761,-0.365,-0.165,
762,-0.37,-0.145,
763,-0.36,-0.165,
764,-0.365,-0.175,
765,-0.385,-0.19,
766,-0.385,-0.185,
767,-0.38,-0.185,
768,-0.37,-0.185,
769,-0.375,-0.19,
770,-0.375,-0.185,
771,-0.385,-0.21,
772,-0.395,-0.195,
773,-0.39,-0.195,
774,-0.385,-0.185,
775,-0.395,-0.2,
776,-0.395,-0.195,
777,-0.405,-0.205,
778,-0.41,-0.215,
779,-0.41,-0.2,
780,-0.405,-0.19,
781,-0.4,-0.2,
782,-0.4,-0.205,
783,-0.41,-0.215,
784,-0.41,-0.215,
785,-0.41,-0.2,
786,-0.405,-0.19,
787,-0.405,-0.205,
788,-0.405,-0.205,
789,-0.4,-0.215,
790,-0.4,-0.22,
791,-0.4,-0.205,
792,-0.385,-0.2,
793,-0.385,-0.205,
794,-0.38,-0.2,
795,-0.405,-0.21,
796,-0.405,-0.22,
797,-0.395,-0.21,
798,-0.395,-0.195,
799,-0.385,-0.21,
800,-0.365,-0.205,
801,-0.37,-0.205,
802,-0.35,-0.22,
803,-0.335,-0.195,
804,-0.33,-0.19,
805,-0.32,-0.185,
806,-0.315,-0.19,
807,-0.33,-0.19,
808,-0.335,-0.195,
809,-0.32,-0.185,
810,-0.31,-0.18,
811,-0.29,-0.19,
812,-0.29,-0.2,
813,-0.305,-0.21,
814,-0.315,-0.205,
815,-0.3,-0.195,
816,-0.28,-0.19,
817,-0.29,-0.195,
818,-0.29,-0.195,
819,-0.3,-0.21,
820,-0.32,-0.21,
821,-0.325,-0.205,
822,-0.345,-0.215,
823,-0.345,-0.23,
824,-0.34,-0.255,
825,-0.35,-0.255,
826,-0.345,-0.25,
827,-0.34,-0.245,
828,-0.32,-0.22,
829,-0.325,-0.2,
830,-0.34,-0.21,
831,-0.365,-0.205,
832,-0.385,-0.2,
833,-0.39,-0.195,
834,-0.38,-0.18,
835,-0.385,-0.195,
836,-0.395,-0.21,
837,-0.415,-0.22,
838,-0.43,-0.225,
839,-0.43,-0.21,
840,-0.445,-0.205,
841,-0.445,-0.215,
842,-0.455,-0.225,
843,-0.455,-0.24,
844,-0.455,-0.235,
845,-0.445,-0.22,
846,-0.435,-0.215,
847,-0.435,-0.215,
848,-0.45,-0.225,
849,-0.465,-0.23,
850,-0.47,-0.225,
851,-0.46,-0.23,
852,-0.45,-0.22,
853,-0.445,-0.225,
854,-0.44,-0.225,
855,-0.445,-0.215,
856,-0.455,-0.22,
857,-0.455,-0.24,
858,-0.45,-0.22,
859,-0.445,-0.23,
860,-0.45,-0.22,
861,-0.455,-0.225,
862,-0.475,-0.235,
863,-0.515,-0.22,
864,-0.57,-0.225,
865,-0.6,-0.255,
866,-0.585,-0.245,
867,-0.535,-0.225,
868,-0.47,-0.19,
869,-0.36,-0.15,
870,-0.17,-0.075,
871,0.17,0.05,
872,0.535,0.23,
873,0.9,0.445,
874,1.215,0.675,
875,1.505,0.9,
876,1.685,1.1,N
877,1.7,1.18,
878,1.505,1.125,
879,1.06,0.885,
880,0.49,0.485,
881,-0.025,0.045,
882,-0.365,-0.28,
883,-0.525,-0.5,
884,-0.575,-0.575,
885,-0.57,-0.54,
886,-0.48,-0.445,
887,-0.38,-0.31,
888,-0.335,-0.195,
889,-0.345,-0.155,
890,-0.395,-0.16,
891,-0.41,-0.185,
892,-0.43,-0.205,
893,-0.415,-0.2,
894,-0.42,-0.175,
895,-0.425,-0.18,
896,-0.44,-0.19,
897,-0.47,-0.205,
898,-0.475,-0.21,
899,-0.48,-0.205,
900,-0.475,-0.195,
901,-0.475,-0.195,
902,-0.48,-0.2,
903,-0.485,-0.215,
904,-0.495,-0.21,
905,-0.485,-0.2,
906,-0.485,-0.195,
907,-0.49,-0.215,
908,-0.48,-0.2,
909,-0.49,-0.21,
910,-0.485,-0.205,
911,-0.48,-0.19,
912,-0.47,-0.185,
913,-0.475,-0.195,
914,-0.485,-0.205,
915,-0.49,-0.22,
916,-0.49,-0.205,
917,-0.49,-0.185,
918,-0.475,-0.16,
919,-0.48,-0.18,
920,-0.47,-0.185,
921,-0.48,-0.195,
922,-0.49,-0.2,
923,-0.485,-0.2,
924,-0.455,-0.185,
925,-0.45,-0.18,
926,-0.45,-0.18,
927,-0.455,-0.18,
928,-0.475,-0.17,
929,-0.445,-0.16,
930,-0.435,-0.15,
931,-0.425,-0.16,
932,-0.425,-0.175,
933,-0.435,-0.17,
934,-0.43,-0.165,
935,-0.41,-0.15,
936,-0.4,-0.13,
937,-0.38,-0.13,
938,-0.375,-0.125,
939,-0.365,-0.13,
940,-0.355,-0.125,
941,-0.335,-0.11,
942,-0.315,-0.105,
943,-0.295,-0.095,
944,-0.29,-0.085,
945,-0.27,-0.07,
946,-0.26,-0.055,
947,-0.24,-0.05,
948,-0.215,-0.015,
949,-0.205,-0.015,
950,-0.18,-0.01,
951,-0.17,-0.01,
952,-0.16,-0.005,
953,-0.13,0.03,
954,-0.105,0.045,
955,-0.09,0.055,
956,-0.07,0.055,
957,-0.06,0.075,
958,-0.055,0.08,
959,-0.045,0.09,
960,-0.025,0.11,
961,0.005,0.115,
962,0.01,0.12,
963,0.01,0.13,
964,0.015,0.135,
965,0.035,0.155,
966,0.04,0.17,
967,0.055,0.17,
968,0.06,0.165,
969,0.035,0.155,
970,0.03,0.15,
971,0.045,0.15,
972,0.035,0.16,
973,0.04,0.16,
974,0.03,0.165,
975,0.005,0.155,
976,-0.01,0.125,
977,-0.03,0.115,
978,-0.04,0.12,
979,-0.055,0.105,
980,-0.095,0.065,
981,-0.105,0.05,
982,-0.135,0.035,
983,-0.155,0.03,
984,-0.17,0.03,
985,-0.175,0.01,
986,-0.2,-0.015,
987,-0.225,-0.04,
988,-0.26,-0.055,
989,-0.265,-0.065,
990,-0.27,-0.07,
991,-0.265,-0.095,
992,-0.285,-0.115,
993,-0.3,-0.13,
994,-0.31,-0.135,
995,-0.315,-0.13,
996,-0.305,-0.125,
997,-0.3,-0.14,
998,-0.315,-0.155,
999,-0.335,-0.165,
1000,-0.345,-0.155,
1001,-0.325,-0.15,
1002,-0.33,-0.17,
1003,-0.325,-0.16,
1004,-0.33,-0.185,
1005,-0.345,-0.17,
1006,-0.335,-0.17,
1007,-0.335,-0.17,
1008,-0.33,-0.165,
1009,-0.335,-0.175,
1010,-0.335,-0.175,
1011,-0.35,-0.19,
1012,-0.34,-0.175,
1013,-0.335,-0.18,
1014,-0.33,-0.18,
1015,-0.335,-0.175,
1016,-0.325,-0.18,
1017,-0.33,-0.175,
1018,-0.32,-0.175,
1019,-0.32,-0.16,
1020,-0.315,-0.16,
1021,-0.32,-0.165,
1022,-0.315,-0.175,
1023,-0.31,-0.18,
1024,-0.305,-0.155,
1025,-0.3,-0.155,
1026,-0.295,-0.145,
1027,-0.305,-0.15,
1028,-0.31,-0.15,
1029,-0.295,-0.15,
1030,-0.295,-0.155,
1031,-0.3,-0.13,
1032,-0.29,-0.145,
1033,-0.285,-0.14,
1034,-0.285,-0.15,
1035,-0.295,-0.135,
1036,-0.29,-0.135,
1037,-0.285,-0.125,
1038,-0.28,-0.13,
1039,-0.28,-0.135,
1040,-0.285,-0.145,
1041,-0.295,-0.135,
1042,-0.285,-0.125,
1043,-0.285,-0.11,
1044,-0.29,-0.13,
1045,-0.28,-0.135,
1046,-0.285,-0.145,
1047,-0.29,-0.13,
1048,-0.295,-0.135,
1049,-0.275,-0.12,
1050,-0.285,-0.13,
1051,-0.295,-0.14,
1052,-0.295,-0.14,
1053,-0.3,-0.155,
1054,-0.3,-0.15,
1055,-0.295,-0.14,
1056,-0.295,-0.145,
1057,-0.305,-0.15,
1058,-0.32,-0.165,
1059,-0.32,-0.16,
1060,-0.32,-0.16,
1061,-0.31,-0.15,
1062,-0.31,-0.165,
1063,-0.32,-0.165,
1064,-0.325,-0.175,
1065,-0.34,-0.185,
1066,-0.33,-0.17,
1067,-0.33,-0.16,
1068,-0.335,-0.175,
1069,-0.345,-0.195,
1070,-0.35,-0.195,
1071,-0.355,-0.19,
1072,-0.355,-0.195,
1073,-0.345,-0.19,
1074,-0.345,-0.2,
1075,-0.35,-0.22,
1076,-0.355,-0.22,
1077,-0.375,-0.215,
1078,-0.365,-0.215,
1079,-0.36,-0.21,
1080,-0.355,-0.205,
1081,-0.36,-0.22,
1082,-0.365,-0.22,
1083,-0.375,-0.225,
1084,-0.37,-0.215,
1085,-0.36,-0.2,
1086,-0.36,-0.215,
1087,-0.37,-0.215,
1088,-0.375,-0.225,
1089,-0.38,-0.235,
1090,-0.38,-0.225,
1091,-0.37,-0.215,
1092,-0.365,-0.22,
1093,-0.365,-0.22,
1094,-0.375,-0.225,
1095,-0.38,-0.245,
1096,-0.38,-0.23,
1097,-0.37,-0.215,
1098,-0.355,-0.225,
1099,-0.355,-0.235,
1100,-0.375,-0.23,
